id,title,description_facebook,description_twitter,picture,caption,link
texas-holdem,Texas Holdem - an Interactive Poker Guide by 888poker,"Learn how to play the most popular card game in the world in no time with The Game visual guide. Don't waste time, learn Texas Holdem and start your first hand right now.",Learn how to play Texas Holdem in no time with The Game visual guide by @888poker. Don't waste time! Start your first hand right now. #thegame,http://game888-2.s3-website-eu-west-1.amazonaws.com/images/share-texas-holdem.jpg,888poker,www.888poker.com
omaha,Omaha Hi - an Interactive Poker Guide by 888poker,The Omaha Hi (PLO) visual guide is a perfect place to start learning this exciting poker game brought to you by 888poker. Get the inside scoop on how to play Omaha in a few simple steps.,The Omaha Hi (PLO) visual guide is a perfect place to start learning this exciting poker game brought to you by @888poker #thegame,http://game888-2.s3-website-eu-west-1.amazonaws.com/images/share-omaha.jpg,888poker,www.888poker.com
omaha-hi-lo,Omaha Hi-Lo - an Interactive Poker Guide by 888poker,Omaha Hi-Lo is one of the most popular poker games with two winners. Learn how to play this exciting game with our 888poker visual guide and get more chances to win!,Omaha Hi-Lo is one of the most popular poker games with two winners. Learn how to play this exciting game with our @888poker visual guide. #thegame,http://game888-2.s3-website-eu-west-1.amazonaws.com/images/share-omaha-hi-lo.jpg,888poker,www.888poker.com
seven-card-stud,7 Card Stud - an Interactive Poker Guide by 888poker,"Seven Card Stud is a great alretnative to Texas Holdem poker. Learn to play the ""father of poker"" in no time with The Game visual guide.","Seven Card Stud is a great alretnative to Texas Holdem poker. Learn to play the ""father of poker"" in no time with The Game visual guide. #thegame @888poker",http://game888-2.s3-website-eu-west-1.amazonaws.com/images/share-seven-card-stud.jpg,888poker,www.888poker.com
snap,SNAP poker - an Interactive Poker Guide by 888poker,SNAP poker is a fast-fold game format designed to reduce the time between a fold and a new hand. Learn SNAP poker today and won't have to wait long to win! ,SNAP poker is a fast-fold game format designed to reduce the time between a fold and a new hand. Learn SNAP poker today! #thegame @888poker,http://game888-2.s3-website-eu-west-1.amazonaws.com/images/share-snap.jpg,888poker,www.888poker.com
default,The Game - an Interactive Poker Guide by 888poker,Get the inside scoop on how to play the most popular poker games in a few simple steps.,Get the inside scoop on how to play the most popular poker games in a few simple steps. #thegame @888poker,http://game888-2.s3-website-eu-west-1.amazonaws.com/images/facebook-share.jpg,888poker,www.888poker.com
